name,email,website,mkto_id,sfdc_id
"Bob Bobski",Bob.Bobski@intel.com,www.intel.com,1001,11
"Brooks Mo",Brooks.Mo@universityofarizona.com,www.universityofarizona.com,1007,17
"Sinema Kyrsten",Sinema.Kyrsten@valero.com,www.valero.com,1020,30
"McClintock Tom",McClintock.Tom@bankofamerica.com,www.bankofamerica.com,1028,38
"Bera Ami",Bera.Ami@boeing.com,www.boeing.com,1031,41
"DeLauro Rosa L.",DeLauro.Rosa.L@uos.com,www.uos.com,1086,96
"Himes Jim",Himes.Jim@walmart.com,www.walmart.com,1087,97
"Blunt Rochester Lisa",Blunt.Rochester.Lisa@chevron.com,www.chevron.com,1089,99
"Webster Daniel",Webster.Daniel@fanniemae.com,www.fanniemae.com,1101,111
"Ross Dennis",Ross.Dennis@chase.com,www.chase.com,1105,115
"Buchanan Vern",Buchanan.Vern@bankofamerica.com,www.bankofamerica.com,1106,116
"Frankel Lois",Frankel.Lois@amazon.com,www.amazon.com,1111,121
"Wilson Frederica",Wilson.Frederica@us.pg.com,www.us.pg.com,1114,124
"Carter Buddy",Carter.Buddy@intel.com,www.intel.com,1118,128
"Loudermilk Barry",Loudermilk.Barry@mobil.com,www.mobil.com,1127,137
"Kelly Robin",Kelly.Robin@valero.com,www.valero.com,1137,147
"Roskam Peter J.",Roskam.Peter.J@costco.com,www.costco.com,1141,151
"Schneider Bradley",Schneider.Bradley@bankofamerica.com,www.bankofamerica.com,1145,155
"Davis Rodney",Davis.Rodney@boeing.com,www.boeing.com,1148,158
"Loebsack David",Loebsack.David@uos.com,www.uos.com,1164,174
"Jenkins Lynn",Jenkins.Lynn@berkshirehathaway.com,www.berkshirehathaway.com,1168,178
"Higgins Clay",Higgins.Clay@verizon.net,www.verizon.net,1178,188
"Johnson Mike",Johnson.Mike@fanniemae.com,www.fanniemae.com,1179,189
"Abraham Ralph",Abraham.Ralph@costco.com,www.costco.com,1180,190
"Brown Anthony",Brown.Anthony@boeing.com,www.boeing.com,1187,197
"Clark Katherine",Clark.Katherine@intel.com,www.intel.com,1196,206
"Capuano Michael E.",Capuano.Michael.E.@burlington.com,www.burlington.com,1198,208
"Bergman Jack",Bergman.Jack@uos.com,www.uos.com,1201,211
"Upton Fred",Upton.Fred@chevron.com,www.chevron.com,1206,216
"Thompson Bennie G.",Thompson.Bennie.G@ibm.com,www.ibm.com,1224,234
"Palazzo Steven",Palazzo.Steven@boeing.com,www.boeing.com,1226,236
"Smith Jason",Smith.Jason@walgreens.com,www.walgreens.com,1234,244
"Titus Dina",Titus.Dina@dickenson-consulting.com,www.dickenson-consulting.com,1238,248
"Kihuen Ruben J.",Kihuen.Ruben.J@universityofarizona.com,www.universityofarizona.com,1241,251
"Pallone Jr. Frank",Pallone.Jr.Frank@ge.com,www.ge.com,1249,259
"Sires Albio",Sires.Albio@cvshealth.com,www.cvshealth.com,1251,261
"Lujan Ben R.",Lujan.Ben.R@costco.com,www.costco.com,1258,268
"Meng Grace",Meng.Grace@cardinalhealth.com,www.cardinalhealth.com,1264,274
"Nadler Jerrold",Nadler.Jerrold@wellsfargo.com,www.wellsfargo.com,1268,278
"Espaillat Adriano",Espaillat.Adriano@homedepot.com,www.homedepot.com,1271,281
"Slaughter Louise",Slaughter.Louise@mobil.com,www.mobil.com,1283,293
"Price David",Price.David@ford.com,www.ford.com,1289,299
"Rouzer David",Rouzer.David@att.com,www.att.com,1292,302
"Hudson Richard",Hudson.Richard@valero.com,www.valero.com,1293,303
"Fudge Marcia L.",Fudge.Marcia.L@adm.com,www.adm.com,1311,321
"Tiberi Pat",Tiberi.Pat@walgreens.com,www.walgreens.com,1312,322
"DeFazio Peter",DeFazio.Peter@apple.com,www.apple.com,1325,335
"Evans Dwight",Evans.Dwight@ford.com,www.ford.com,1328,338
"Marino Tom",Marino.Tom@costco.com,www.costco.com,1336,346
"Barletta Lou",Barletta.Lou@hp.com,www.hp.com,1337,347
"Cartwright Matthew",Cartwright.Matthew@boeing.com,www.boeing.com,1343,353
"Clyburn James E.",Clyburn.James.E.@intel.com,www.intel.com,1352,362
"Duncan Jr. John J.",Duncan.Jr..John.J.@grandhotels.com,www.grandhotels.com,1356,366
"Poe Ted",Poe.Ted@gm.com,www.gm.com,1365,375
"Culberson John",Culberson.John@att.com,www.att.com,1370,380
"Conaway K. Michael",Conaway.K..Michael@fanniemae.com,www.fanniemae.com,1374,384
"Smith Lamar",Smith.Lamar@amazon.com,www.amazon.com,1384,394
"Williams Roger",Williams.Roger@homedepot.com,www.homedepot.com,1388,398
"Vela Filemon",Vela.Filemon@universityofarizona.com,www.universityofarizona.com,1397,407
"Beyer Don",Beyer.Don@fanniemae.com,www.fanniemae.com,1413,423
"McKinley David",McKinley.David@homedepot.com,www.homedepot.com,1427,437
